Icon Name,Variant,URL
Child-care-child-friendly,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Child-care-child-friendly.svg
Child-care-child-friendly,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Child-care-child-friendly.svg
Child-combatant,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Child-combatant.svg
Child-combatant,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Child-combatant.svg
Child-combatant,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Child-combatant.svg
Child-protection,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Child-protection.svg
Child-protection,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Child-protection.svg
Child-protection,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Child-protection.svg
Children,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Children.svg
Children,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Children.svg
Children,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Children.svg
Church,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Church.svg
Church,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Church.svg
Church,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Church.svg
Civil-military-coordination,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Civil-military-coordination.svg
Civil-military-coordination,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Civil-military-coordination.svg
Civil-military-coordination,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Civil-military-coordination.svg
Clinic,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Clinic.svg
Clinic,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Clinic.svg
Clinic,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Clinic.svg
Clothing,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Clothing.svg
Clothing,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Clothing.svg
Clothing,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Clothing.svg
Cold-wave,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Cold-wave.svg
Cold-wave,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Cold-wave.svg
Cold-wave,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Cold-wave.svg
Communal-latrine,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Communal-latrine.svg
Communal-latrine,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Communal-latrine.svg
Communal-latrine,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Communal-latrine.svg
Community-building,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Community-building.svg
Community-building,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Community-building.svg
Community-building,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Community-building.svg
Community-engagement,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Community-engagement.svg
Community-engagement,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Community-engagement.svg
Community-engagement,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Community-engagement.svg
Computer,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Computer.svg
Computer,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Computer.svg
Computer,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Computer.svg
Confined,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Confined.svg
Confined,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Confined.svg
Confined,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Confined.svg
Conflict,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Conflict.svg
Conflict,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Conflict.svg
